Non-Terminal,$,AND,ARROW,AS,ASSIGN,ASSIGN_DESTRUCT,BASE,COLON,COMMA,CONCAT,CONCAT_WS,DIV,DOT,ELIF,ELSE,EQ,FALSE,FOR,FUNCTION,GE,GREATER_THAN,IDENT,IF,IN,INHERITS,IS,LBRACE,LE,LESS_THAN,LET,LPAREN,MINUS,MOD,MULT,NEQ,NEW,NUMBER,OR,PLUS,POW,RBRACE,RPAREN,SELF,SEMICOLON,STRING,TRUE,TYPE,WHILE
AddExpr,,,,,,,"Term AddExpr'",,,,,,,,,,"Term AddExpr'",,,,,"Term AddExpr'",,,,,,,,,"Term AddExpr'","Term AddExpr'",,,,"Term AddExpr'","Term AddExpr'",,,,,,"Term AddExpr'",,"Term AddExpr'","Term AddExpr'",,
AddExpr',,"ε",,"ε",,,"ε",,"ε","ε","ε","ε",,"ε","ε","ε","ε",,,"ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε","ε","MINUS Term AddExpr'","ε","ε","ε","ε","ε","ε","PLUS Term AddExpr'","ε",,"ε","ε","ε","ε","ε",,
AndExpr,,,,,,,"CmpExpr AndExpr'",,,,,,,,,,"CmpExpr AndExpr'",,,,,"CmpExpr AndExpr'",,,,,,,,,"CmpExpr AndExpr'","CmpExpr AndExpr'",,,,"CmpExpr AndExpr'","CmpExpr AndExpr'",,,,,,"CmpExpr AndExpr'",,"CmpExpr AndExpr'","CmpExpr AndExpr'",,
AndExpr',,"AND CmpExpr AndExpr'",,"ε",,,"ε",,"ε","ε","ε","ε",,"ε","ε","ε","ε",,,"ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε",,
ArgId,,,,,,,,,,,,,,,,,,,,,,"IDENT TypeAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,
ArgIdList,,,,,,,,,,,,,,,,,,,,,,"ArgId ArgIdListTail",,,,,,,,,,,,,,,,,,,,"ε",,,,,,
ArgIdListTail,,,,,,,,,"COMMA ArgId ArgIdListTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ε",,,,,,
ArgList,,,,,,,"Expr ArgListTail",,,,,,,,,,"Expr ArgListTail",,,,,"Expr ArgListTail","Expr ArgListTail",,,,,,,"Expr ArgListTail","Expr ArgListTail","Expr ArgListTail",,,,"Expr ArgListTail","Expr ArgListTail",,,,,"ε","Expr ArgListTail",,"Expr ArgListTail","Expr ArgListTail",,
ArgListTail,,,,,,,,,"COMMA Expr ArgListTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ε",,,,,,
AsExpr,,"ε",,"AS IDENT AsExpr",,,"ε",,"ε","ε","ε","ε",,"ε","ε","ε","ε",,,"ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε",,
